Player,Season,Age,Tm,MP,G,TRB,AST,STL,BLK,TOV,PTS,FG%,3P%,TS%,PER,USG%,WS,BPM,VORP,Salary2,Adjusted Salary3
Jimmy Butler,2014-15,25,CHI,38.7,65,5.8,3.3,1.8,0.6,1.4,20,0.462,0.378,0.583,21.3,21.6,11.2,4.6,4.2,"$2,119,214 ","$2,415,770 "
Jimmy Butler,2015-16,26,CHI,36.9,67,5.3,4.8,1.6,0.6,2,20.9,0.454,0.312,0.562,21.3,24.4,9.1,4.4,3.9,"$16,407,500 ","$18,680,395 "
Greg Monroe,2014-15,24,DET,31,69,10.2,2.1,1.1,0.5,2.2,15.9,0.496,,0.549,21.2,23.9,6.8,2,2.1,"$5,479,933 ","$6,246,778 "
Russell Westbrook,2018-19,30,OKC,36,73,11.1,10.7,1.9,0.5,4.5,22.9,0.428,0.29,0.501,21.1,30.9,6.8,5.2,4.7,"$35,665,000 ","$38,454,209 "
Danilo Gallinari,2018-19,30,LAC,30.3,68,6.1,2.6,0.7,0.3,1.5,19.8,0.463,0.433,0.633,21,23.8,8.2,4.3,3.3,"$21,587,579 ","$23,275,852 "
Julius Randle,2018-19,24,NOP,30.6,73,8.7,3.1,0.7,0.6,2.8,21.4,0.524,0.344,0.6,21,27.8,6.1,1.5,2,"$8,641,000 ","$9,316,776 "
Kemba Walker,2015-16,25,CHO,35.6,81,4.4,5.2,1.6,0.5,2.1,20.9,0.427,0.371,0.554,20.8,26.5,9.9,4,4.3,"$12,000,000 ","$13,662,333 "
Bradley Beal,2018-19,25,WAS,36.9,82,5,5.5,1.5,0.7,2.7,25.6,0.475,0.351,0.581,20.8,28.4,7.6,2.9,3.7,"$25,434,262 ","$27,423,368 "
Damian Lillard,2014-15,24,POR,35.7,82,4.6,6.2,1.2,0.3,2.7,21,0.434,0.343,0.56,20.7,26.9,10.6,4.7,4.9,"$3,340,920 ","$3,808,438 "
Jeff Teague,2014-15,26,ATL,30.5,73,2.5,7,1.7,0.4,2.8,15.9,0.46,0.343,0.566,20.6,25.3,7.7,2.9,2.8,"$8,000,000 ","$9,119,495 "
